[TEAMS]
Galatasaray,Galatasaray (1992)
Beşiktaş,Beşiktaş (1992)
Trabzonspor,Trabzonspor (1992)
Fenerbahçe,Fenerbahçe (1992)
Kocaelispor,Kocaelispor (1992)
Bursaspor,Bursaspor (1992)
Altay,Altay (1992)
Gaziantepspor,Gaziantepspor (1992)
Ankaragücü,MKE Ankaragücü (1992)
Sarıyer,Sarıyer (1992)
Gençlerbirliği,Gençlerbirliği (1992)
Karşıyaka,Karşıyaka (1992)
Kayserispor,Kayserispor (1992)
Bakırköyspor,Bakırköyspor (1992)
Konyaspor,Konyaspor (1992)
Aydınspor,Aydınspor (1992)
Samsunspor,Samsunspor (1992)
Karabükspor,Karabükspor (1992)
Denizlispor,Denizlispor (1992)
Sakaryaspor,Sakaryaspor (1992)
Antalyaspor,Antalyaspor (1992)
Göztepe,Göztepe (1992)
Eskişehirspor,Eskişehirspor (1992)
Adana Demirspor,Adana Demirspor (1992)
Adanaspor,Adanaspor (1992)
Mersin İdman Yurdu,Mersin İdman Yurdu (1992)
Manchester United,Manchester United (1992)
Aston Villa,Aston Villa (1992)
Norwich City,Norwich City (1992)
Blackburn Rovers,Blackburn Rovers (1992)
Queens Park Rangers,QPR (1992)
Liverpool,Liverpool (1992)
Sheffield Wednesday,Sheffield Wed. (1992)
Tottenham Hotspur,Tottenham Hotspur (1992)
Manchester City,Manchester City (1992)
Arsenal,Arsenal (1992)
Chelsea,Chelsea (1992)
Wimbledon,Wimbledon FC (1992)
Everton,Everton (1992)
Sheffield United,Sheffield United (1992)
Coventry City,Coventry City (1992)
Ipswich Town,Ipswich Town (1992)
Leeds United,Leeds United (1992)
Southampton,Southampton (1992)
Oldham Athletic,Oldham Athletic (1992)
Crystal Palace,Crystal Palace (1992)
Middlesbrough,Middlesbrough (1992)
Nottingham Forest,Nottingham Forest (1992)
Newcastle United,Newcastle United (1992)
West Ham United,West Ham United (1992)
Portsmouth,Portsmouth (1992)
Leicester City,Leicester City (1992)
Derby County,Derby County (1992)
Wolverhampton,Wolverhampton (1992)
AC Milan,AC Milan (1992)
Inter,Internazionale (1992)
Parma,Parma Calcio (1992)
Juventus,Juventus (1992)
Lazio,Lazio (1992)
Cagliari,Cagliari (1992)
Sampdoria,Sampdoria (1992)
Atalanta,Atalanta (1992)
Torino,Torino (1992)
AS Roma,AS Roma (1992)
Napoli,Napoli (1992)
Foggia,Foggia (1992)
Genoa,Genoa (1992)
Udinese,Udinese (1992)
Fiorentina,Fiorentina (1992)
Ancona,Ancona (1992)
Pescara,Pescara (1992)
Brescia,Brescia (1992)
Lecce,Lecce (1992)
Bologna,Bologna (1992)
Bari,Bari (1992)
Verona,Hellas Verona (1992)
Barcelona,FC Barcelona (1992)
Real Madrid,Real Madrid (1992)
Deportivo La Coruña,Deportivo (1992)
Valencia,Valencia CF (1992)
Atlético Madrid,Atlético Madrid (1992)
Sevilla,Sevilla FC (1992)
Tenerife,CD Tenerife (1992)
Real Sociedad,Real Sociedad (1992)
Zaragoza,Real Zaragoza (1992)
Real Oviedo,Real Oviedo (1992)
Rayo Vallecano,Rayo Vallecano (1992)
Athletic Bilbao,Athletic Bilbao (1992)
Celta Vigo,Celta Vigo (1992)
Sporting Gijón,Sporting Gijón (1992)
Osasuna,CA Osasuna (1992)
Albacete,Albacete (1992)
Espanyol,RCD Espanyol (1992)
Cádiz,Cádiz CF (1992)
Valladolid,Real Valladolid (1992)
Real Betis,Real Betis (1992)
Mallorca,RCD Mallorca (1992)
Werder Bremen,Werder Bremen (1992)
Bayern München,Bayern München (1992)
Eintracht Frankfurt,Eintracht Frankfurt (1992)
Borussia Dortmund,Borussia Dortmund (1992)
Bayer Leverkusen,Bayer Leverkusen (1992)
Hamburger SV,Hamburger SV (1992)
VfB Stuttgart,VfB Stuttgart (1992)
Kaiserslautern,1. FC Kaiserslautern (1992)
Karlsruher SC,Karlsruher SC (1992)
Borussia Mönchengladbach,Mönchengladbach (1992)
1. FC Köln,1. FC Köln (1992)
Schalke 04,Schalke 04 (1992)
Dynamo Dresden,Dynamo Dresden (1992)
VfL Bochum,VfL Bochum (1992)
Duisburg,MSV Duisburg (1992)
Freiburg,SC Freiburg (1992)
Hertha BSC,Hertha BSC (1992)
Marseille,Olympique Marseille (1992)
Paris Saint-Germain,PSG (1992)
AS Monaco,AS Monaco (1992)
Bordeaux,Girondins Bordeaux (1992)
Nantes,FC Nantes (1992)
Auxerre,AJ Auxerre (1992)
Saint-Étienne,AS Saint-Étienne (1992)
Strasbourg,RC Strasbourg (1992)
Lens,RC Lens (1992)
Lyon,Olympique Lyonnais (1992)
Lille,Lille OSC (1992)
Metz,FC Metz (1992)
Rennes,Stade Rennais (1992)
Feyenoord,Feyenoord (1992)
PSV Eindhoven,PSV Eindhoven (1992)
Ajax,Ajax Amsterdam (1992)
Vitesse,Vitesse Arnhem (1992)
Twente,Twente Enschede (1992)
